dataset,classifier,param,param value,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
diabetes,DecisionTree,params,default,9,0.6875,0.6567836812144212,0.6578507462686567,0.6572958500669344
diabetes,Bagging,n_estimators,1,9,0.6796875,0.6482447817836812,0.6492537313432836,0.6487282463186078
diabetes,Bagging,n_estimators,5,9,0.7330729166666666,0.7053989072722648,0.698910447761194,0.7017181896203841
diabetes,Bagging,n_estimators,10,9,0.7486979166666666,0.7266543007138785,0.6987910447761194,0.7072425010319907
diabetes,Bagging,n_estimators,15,9,0.75390625,0.7290053174139619,0.7252985074626865,0.727026025730475
diabetes,Bagging,n_estimators,20,9,0.7421875,0.716069835605964,0.7024477611940299,0.7076411960132891
diabetes,Bagging,n_estimators,25,9,0.75,0.7246085970771163,0.7188358208955223,0.7214173978099707
diabetes,Bagging,n_estimators,50,9,0.7552083333333334,0.7312034247661329,0.7176417910447761,0.7229671130895277
diabetes,Bagging,n_estimators,100,9,0.7565104166666666,0.7326486383877372,0.7195074626865672,0.724716936647863
diabetes,Bagging,n_estimators,200,9,0.75390625,0.7290341148931272,0.7227014925373134,0.7255145939506253
diabetes,Bagging,n_estimators,300,9,0.75,0.7246486486486486,0.7171044776119403,0.7203692606443097
diabetes,Bagging,n_estimators,400,9,0.75390625,0.7294834142999992,0.7175074626865672,0.7223262674009981
diabetes,Bagging,n_estimators,500,9,0.75390625,0.7299149734541535,0.7149104477611941,0.7206461136376321
diabetes,Bagging,max_samples,0.2,9,0.75,0.7301018087674491,0.6963283582089552,0.7056883956728274
diabetes,Bagging,max_samples,0.5,9,0.7447916666666666,0.7222527472527474,0.6931940298507462,0.7016648168701443
diabetes,Bagging,max_samples,0.9,9,0.7447916666666666,0.7222527472527474,0.6931940298507462,0.7016648168701443
diabetes,Bagging,max_samples,1.0,9,0.73828125,0.7128513720340897,0.6899253731343283,0.6971602891698627
diabetes,Bagging,max_features,0.2,9,0.6705729166666666,0.6345276031349583,0.5582835820895523,0.5347115294816319
diabetes,Bagging,max_features,0.5,9,0.7018229166666666,0.6692847798055475,0.634223880597015,0.6396530775740017
diabetes,Bagging,max_features,0.9,9,0.71875,0.6887239366138449,0.668865671641791,0.6749206349206349
diabetes,Bagging,max_features,1.0,9,0.74609375,0.7227679885613356,0.6976567164179104,0.7055440533701404
diabetes,Bagging,bootstrap,True,9,0.7682291666666666,0.7474543397446258,0.7285074626865671,0.7355433293869118
diabetes,Bagging,bootstrap,False,9,0.7057291666666666,0.6756854256854257,0.6744477611940298,0.6750441841655934
diabetes,RandomForest,n_estimators,1,9,0.6809895833333334,0.6481007416330986,0.6467910447761194,0.6474126542429097
diabetes,RandomForest,n_estimators,5,9,0.7239583333333334,0.6949131513647643,0.6875820895522389,0.6906520747834017
diabetes,RandomForest,n_estimators,10,9,0.7408854166666666,0.7185369449051041,0.685865671641791,0.6945943731603064
diabetes,RandomForest,n_estimators,15,9,0.7552083333333334,0.7319379343785357,0.7141791044776119,0.7206862130603338
diabetes,RandomForest,n_estimators,20,9,0.74609375,0.7227679885613356,0.6976567164179104,0.7055440533701404
diabetes,RandomForest,n_estimators,25,9,0.7578125,0.7336228287841191,0.7248358208955223,0.7285909712722298
diabetes,RandomForest,n_estimators,50,9,0.7604166666666666,0.7389705882352942,0.7173134328358208,0.7248855247173162
diabetes,RandomForest,n_estimators,100,9,0.7708333333333334,0.7499759915490252,0.7331044776119403,0.7395948122404001
diabetes,RandomForest,n_estimators,200,9,0.7604166666666666,0.7381444965249717,0.719910447761194,0.7266290595909649
diabetes,RandomForest,n_estimators,300,9,0.75390625,0.730493150019039,0.7123134328358209,0.71890631566105
diabetes,RandomForest,n_estimators,400,9,0.7643229166666666,0.7426660862415053,0.7246417910447761,0.7313663005857425
diabetes,RandomForest,n_estimators,500,9,0.7669270833333334,0.7452437028461938,0.7292388059701492,0.7354267425456938
diabetes,RandomForest,max_features,0.2,9,0.7213541666666666,0.6938775510204082,0.6622089552238806,0.669583118888317
diabetes,RandomForest,max_features,0.5,9,0.74609375,0.7261772471485594,0.689865671641791,0.699286166079335
diabetes,RandomForest,max_features,0.9,9,0.7552083333333334,0.7354395604395605,0.7046567164179105,0.7138417631203424
diabetes,RandomForest,max_features,1.0,9,0.7552083333333334,0.7346273924256821,0.7063880597014925,0.7151515151515153
diabetes,RandomForest,bootstrap,True,9,0.74609375,0.7222222222222222,0.6993880597014925,0.7068489986552168
diabetes,RandomForest,bootstrap,False,9,0.734375,0.7093425007773901,0.680865671641791,0.6887649288421656
diabetes,AdaBoost,n_estimators,1,9,0.70703125,0.6797384430439692,0.6841044776119403,0.6816125733553207
diabetes,AdaBoost,n_estimators,5,9,0.70703125,0.6772459582129862,0.6763134328358209,0.6767670721419232
diabetes,AdaBoost,n_estimators,10,9,0.6979166666666666,0.6665051483949122,0.6641194029850747,0.6652236652236652
diabetes,AdaBoost,n_estimators,15,9,0.71484375,0.6853130143896352,0.6823134328358209,0.683696823465471
diabetes,AdaBoost,n_estimators,20,9,0.71875,0.6909392789373814,0.6922388059701492,0.691566265060241
diabetes,AdaBoost,n_estimators,25,9,0.7161458333333334,0.6865234375,0.6824477611940298,0.6842772229430046
diabetes,AdaBoost,n_estimators,50,9,0.6953125,0.6623783783783783,0.6569253731343283,0.6592000364102525
diabetes,AdaBoost,n_estimators,100,9,0.70703125,0.6788290308587057,0.6815074626865671,0.6800562863940602
diabetes,AdaBoost,n_estimators,200,9,0.7083333333333334,0.6785714285714286,0.6773134328358209,0.6779198993499684
diabetes,AdaBoost,n_estimators,300,9,0.7044270833333334,0.6757108611469667,0.6777761194029851,0.6766759582269255
diabetes,AdaBoost,n_estimators,400,9,0.71875,0.6914103923647932,0.6939701492537313,0.6925996204933587
diabetes,AdaBoost,n_estimators,500,9,0.7161458333333334,0.6893879695298135,0.6937014925373135,0.6912705144753826
diabetes,AdaBoost,learning_rate,0.5,9,0.68359375,0.6519917157735545,0.6522537313432836,0.6521213951381549
diabetes,AdaBoost,learning_rate,1.0,9,0.6822916666666666,0.6521949787109088,0.6547164179104478,0.6533244533244533
diabetes,AdaBoost,learning_rate,2.0,9,0.6796875,0.647880410531013,0.6483880597014926,0.648128971698043
diabetes,AdaBoost,algorithm,SAMME,9,0.7018229166666666,0.6734942938188535,0.6766417910447762,0.6749029082244729
diabetes,AdaBoost,algorithm,SAMME.R,9,0.6888020833333334,0.6594212459045232,0.6623134328358209,0.6607065286709564
glass,DecisionTree,params,default,9,0.705607476635514,0.6765873015873015,0.6369742055073538,0.6498641972558222
glass,Bagging,n_estimators,1,9,0.6261682242990654,0.5701671775962727,0.5879198535945627,0.5725359350905544
glass,Bagging,n_estimators,5,9,0.7476635514018691,0.7387074871830969,0.6975106115786164,0.7138365679654246
glass,Bagging,n_estimators,10,9,0.7242990654205608,0.738003663003663,0.6608579035876997,0.6886307552097026
glass,Bagging,n_estimators,15,9,0.7523364485981309,0.7425329699376887,0.7328514558444098,0.7358093029508638
glass,Bagging,n_estimators,20,9,0.7383177570093458,0.7227598818176769,0.7156449781116163,0.7180837062451554
glass,Bagging,n_estimators,25,9,0.7523364485981309,0.718925426593303,0.7174416076946235,0.7120805840298834
glass,Bagging,n_estimators,50,9,0.7570093457943925,0.7459746339056684,0.7247928477858018,0.731541469472504
glass,Bagging,n_estimators,100,9,0.7897196261682243,0.7632274498712855,0.7609019960226323,0.7586887480766474
glass,Bagging,n_estimators,200,9,0.7616822429906542,0.7747236626546972,0.7420197385421042,0.7549428739083911
glass,Bagging,n_estimators,300,9,0.7570093457943925,0.7432710805692037,0.7219642264587284,0.7304453678394895
glass,Bagging,n_estimators,400,9,0.7663551401869159,0.7560617689928035,0.7369777217353816,0.7437288856008069
glass,Bagging,n_estimators,500,9,0.7663551401869159,0.7656790504170954,0.7516356901859197,0.7580298833276767
glass,Bagging,max_samples,0.2,9,0.705607476635514,0.7686485104206624,0.598745946018285,0.6416453197559944
glass,Bagging,max_samples,0.5,9,0.7289719626168224,0.7128306878306878,0.6579453425001626,0.66914829905026
glass,Bagging,max_samples,0.9,9,0.7429906542056075,0.7229166666666668,0.7091497206635458,0.7139970596992725
glass,Bagging,max_samples,1.0,9,0.7476635514018691,0.7429452247490222,0.7060372386036953,0.7220816220047421
glass,Bagging,max_features,0.2,9,0.5420560747663551,0.3932144937419199,0.35175511919133146,0.35124977806185864
glass,Bagging,max_features,0.5,9,0.7476635514018691,0.7253282937106467,0.6302381380367928,0.6622450064555329
glass,Bagging,max_features,0.9,9,0.7429906542056075,0.7082084582084582,0.6699015562605827,0.6857897950003213
glass,Bagging,max_features,1.0,9,0.7570093457943925,0.7687460636120296,0.7235012200235857,0.742068874761198
glass,Bagging,bootstrap,True,9,0.7616822429906542,0.757104793940237,0.7145291193865977,0.7311500163256673
glass,Bagging,bootstrap,False,9,0.6495327102803738,0.6272385022385022,0.633567425915563,0.6288577859741685
glass,RandomForest,n_estimators,1,9,0.6261682242990654,0.5820111310978892,0.5572859318855903,0.5654643347154827
glass,RandomForest,n_estimators,5,9,0.7102803738317757,0.6900427350427351,0.5762398337342289,0.6122409135424921
glass,RandomForest,n_estimators,10,9,0.7570093457943925,0.751576332429991,0.7209298840450757,0.7336253316134472
glass,RandomForest,n_estimators,15,9,0.7663551401869159,0.761223344556678,0.7148091684282566,0.7331162331162332
glass,RandomForest,n_estimators,20,9,0.7897196261682243,0.797008547008547,0.7367775509229549,0.7616011473770093
glass,RandomForest,n_estimators,25,9,0.7897196261682243,0.8163738524849635,0.7428514964705847,0.7641231501259234
glass,RandomForest,n_estimators,50,9,0.7850467289719626,0.7849716982069923,0.7258125756390942,0.7414975161919135
glass,RandomForest,n_estimators,100,9,0.7570093457943925,0.7627528789293495,0.7145412572710533,0.7251074536638645
glass,RandomForest,n_estimators,200,9,0.8084112149532711,0.8098280423280424,0.7498555044274058,0.766489160036683
glass,RandomForest,n_estimators,300,9,0.7990654205607477,0.8101037851037852,0.7314494780492432,0.7615294875244621
glass,RandomForest,n_estimators,400,9,0.7850467289719626,0.7808285444250357,0.7556924223146066,0.7643618282158599
glass,RandomForest,n_estimators,500,9,0.7710280373831776,0.7761265432098766,0.7439552173111478,0.7536706672369106
glass,RandomForest,max_features,0.2,9,0.7383177570093458,0.7416333944713286,0.6660470642722164,0.6912740645580345
glass,RandomForest,max_features,0.5,9,0.7710280373831776,0.7896331609566904,0.7510264083606669,0.766528990445399
glass,RandomForest,max_features,0.9,9,0.780373831775701,0.7946942294054883,0.7128614887715988,0.7443362089046323
glass,RandomForest,max_features,1.0,9,0.7289719626168224,0.7060945560945561,0.6961902033216222,0.6934090685814823
glass,RandomForest,bootstrap,True,9,0.7289719626168224,0.7357202982202983,0.6407207198575833,0.6764880952380953
glass,RandomForest,bootstrap,False,9,0.7429906542056075,0.7165810317676166,0.7010156348204816,0.7075679179240716
glass,AdaBoost,n_estimators,1,9,0.677570093457944,0.6377256730197907,0.6281963316606212,0.6309430778026602
glass,AdaBoost,n_estimators,5,9,0.6682242990654206,0.6378083314703032,0.6337553328372161,0.634456258960768
glass,AdaBoost,n_estimators,10,9,0.677570093457944,0.6373542743405758,0.6280105570700211,0.631426129049219
glass,AdaBoost,n_estimators,15,9,0.705607476635514,0.6746651536868927,0.6608230650133073,0.6650806282023007
glass,AdaBoost,n_estimators,20,9,0.6915887850467289,0.6452257653666105,0.6388342694951,0.6410363041985905
glass,AdaBoost,n_estimators,25,9,0.6822429906542056,0.6357745640897815,0.6309554192254097,0.6300143605924539
glass,AdaBoost,n_estimators,50,9,0.6682242990654206,0.6184954984065436,0.6165512057740092,0.6166734342520256
glass,AdaBoost,n_estimators,100,9,0.6635514018691588,0.6099053276472631,0.6260894115196454,0.6150960150960151
glass,AdaBoost,n_estimators,200,9,0.6962616822429907,0.6831710797228038,0.647597987183767,0.6632169821951769
glass,AdaBoost,n_estimators,300,9,0.7009345794392523,0.6875539275539276,0.654197347575697,0.6679590933422749
glass,AdaBoost,n_estimators,400,9,0.7149532710280374,0.6683532126570101,0.6726954530707067,0.6701184712078883
glass,AdaBoost,n_estimators,500,9,0.6588785046728972,0.5894775690398054,0.5754224720275751,0.5782993208744044
glass,AdaBoost,learning_rate,0.5,9,0.7102803738317757,0.6765432098765433,0.6790269023054333,0.6768450482266273
glass,AdaBoost,learning_rate,1.0,9,0.6308411214953271,0.5792359165888578,0.5781878164578069,0.5772496823604039
glass,AdaBoost,learning_rate,2.0,9,0.6542056074766355,0.6183465608465608,0.6092467357520203,0.6128779427766572
glass,AdaBoost,algorithm,SAMME,9,0.6869158878504673,0.6270962732919254,0.6454745384899115,0.6338870842839498
glass,AdaBoost,algorithm,SAMME.R,9,0.7149532710280374,0.6790175755692998,0.6583236134666689,0.6653963976330532
