dataset,classifier,param,param value,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
diabetes,DecisionTree,params,default,2,0.6911458333333333,0.6602032701934031,0.6598716417910448,0.6598684123942736
diabetes,DecisionTree,params,default,3,0.694921875,0.6649312423106313,0.6652820895522388,0.6648395104654846
diabetes,DecisionTree,params,default,4,0.6977864583333332,0.668284188289701,0.6693865671641791,0.6686767823494121
diabetes,DecisionTree,params,default,5,0.705078125,0.6756827619989756,0.6756791044776119,0.6755306442887493
diabetes,DecisionTree,params,default,6,0.6968749999999999,0.6667347839478697,0.6667820895522387,0.6665479485214899
diabetes,DecisionTree,params,default,7,0.70234375,0.6734464023839234,0.6752238805970148,0.6740377238130393
diabetes,DecisionTree,params,default,8,0.7016927083333333,0.6726746800034509,0.6741179104477611,0.6732522863063545
diabetes,DecisionTree,params,default,9,0.706640625,0.6781284795925238,0.6796492537313433,0.678720845488484
diabetes,Bagging,n_estimators,1,2,0.6861979166666666,0.65690735272666,0.6591014925373134,0.6574174806331499
diabetes,Bagging,n_estimators,1,3,0.690625,0.6595179517976588,0.6586059701492536,0.6586063161646396
diabetes,Bagging,n_estimators,1,4,0.6865885416666666,0.655161569717356,0.6546402985074626,0.6546819110620127
diabetes,Bagging,n_estimators,1,5,0.690625,0.6598396527217918,0.6595582089552239,0.6595182714343862
diabetes,Bagging,n_estimators,1,6,0.6891927083333332,0.6582327366566744,0.6581119402985074,0.6579611450818235
diabetes,Bagging,n_estimators,1,7,0.6825520833333333,0.6510127049838229,0.6512805970149254,0.6508980695951803
diabetes,Bagging,n_estimators,1,8,0.6911458333333333,0.6606093153381252,0.6609970149253732,0.6606509077910456
diabetes,Bagging,n_estimators,1,9,0.6907552083333334,0.6603511821025605,0.6605238805970151,0.6600267806452355
diabetes,Bagging,n_estimators,5,2,0.7268229166666667,0.6983345361870464,0.6906477611940298,0.6936715203242253
diabetes,Bagging,n_estimators,5,3,0.737109375,0.7103244376895843,0.7015776119402986,0.7049536202340778
diabetes,Bagging,n_estimators,5,4,0.7311197916666667,0.7032052193199241,0.6965447761194029,0.699303730700097
diabetes,Bagging,n_estimators,5,5,0.7341145833333333,0.7067190667952243,0.7013552238805969,0.7035906792026815
diabetes,Bagging,n_estimators,5,6,0.7359375,0.7089596735812866,0.7031014925373132,0.7055325748444174
diabetes,Bagging,n_estimators,5,7,0.7307291666666667,0.7028570955015172,0.6973701492537314,0.6997100514164322
diabetes,Bagging,n_estimators,5,8,0.7329427083333333,0.705449786368807,0.7011477611940299,0.7030269804425683
diabetes,Bagging,n_estimators,5,9,0.729296875,0.7015236908754817,0.6972223880597015,0.698993082273651
diabetes,Bagging,n_estimators,10,2,0.7432291666666667,0.7194926217671888,0.6945910447761194,0.7021787719500097
diabetes,Bagging,n_estimators,10,3,0.7395833333333333,0.7147757054407707,0.6901462686567165,0.6975937492814428
diabetes,Bagging,n_estimators,10,4,0.7433593749999999,0.7191002852680712,0.695989552238806,0.70328858227263
diabetes,Bagging,n_estimators,10,5,0.7382812499999999,0.7126935116202139,0.6916567164179105,0.6983995812999292
diabetes,Bagging,n_estimators,10,6,0.7471354166666667,0.7240233397183593,0.6993223880597015,0.7069087532917973
diabetes,Bagging,n_estimators,10,7,0.7440104166666667,0.7196811165065933,0.6978746268656717,0.7050122198608967
diabetes,Bagging,n_estimators,10,8,0.7433593749999999,0.7190245605567871,0.6959895522388059,0.7033410426799726
diabetes,Bagging,n_estimators,10,9,0.744140625,0.7200443892556844,0.6971955223880597,0.7045236081337778
diabetes,Bagging,n_estimators,15,2,0.742578125,0.7168764175524616,0.7040462686567163,0.7087468639180308
diabetes,Bagging,n_estimators,15,3,0.748046875,0.7226509464143913,0.7123149253731345,0.7164418056711979
diabetes,Bagging,n_estimators,15,4,0.7477864583333332,0.7223410767136482,0.7132402985074627,0.7169895367067709
diabetes,Bagging,n_estimators,15,5,0.7451822916666667,0.7193747936144742,0.7124522388059702,0.7154012602542336
diabetes,Bagging,n_estimators,15,6,0.7444010416666667,0.718305611771761,0.7097746268656716,0.7133335239354746
diabetes,Bagging,n_estimators,15,7,0.748046875,0.7225783273473073,0.7141328358208956,0.7176115357461856
diabetes,Bagging,n_estimators,15,8,0.748828125,0.7235984752318924,0.7132611940298508,0.7174464971161612
diabetes,Bagging,n_estimators,15,9,0.7494791666666666,0.7242749560210646,0.7149731343283581,0.718805961636665
diabetes,Bagging,n_estimators,20,2,0.7411458333333334,0.7161712523681628,0.6962805970149253,0.7029159931277061
diabetes,Bagging,n_estimators,20,3,0.7544270833333333,0.7311570036759266,0.7128,0.719271708113377
diabetes,Bagging,n_estimators,20,4,0.751171875,0.7274149186894154,0.7089149253731343,0.7155048242141675
diabetes,Bagging,n_estimators,20,5,0.75,0.725737919338658,0.7094865671641791,0.7153299562885834
diabetes,Bagging,n_estimators,20,6,0.7548177083333334,0.7317442621206963,0.7129268656716418,0.7196110106283494
diabetes,Bagging,n_estimators,20,7,0.7545572916666666,0.7306216538077022,0.7160164179104478,0.7216203537678215
diabetes,Bagging,n_estimators,20,8,0.750390625,0.726149927928775,0.7094402985074627,0.7155179612259114
diabetes,Bagging,n_estimators,20,9,0.7537760416666666,0.7298922578039309,0.7148104477611941,0.7204844359775494
diabetes,Bagging,n_estimators,25,2,0.747265625,0.7218178060315388,0.7116283582089551,0.7157039505297342
diabetes,Bagging,n_estimators,25,3,0.7536458333333333,0.7292487403944656,0.7181731343283582,0.722545228217107
diabetes,Bagging,n_estimators,25,4,0.7506510416666666,0.7257534416052426,0.714055223880597,0.7186636059068154
diabetes,Bagging,n_estimators,25,5,0.7559895833333333,0.7317344492699214,0.7218776119402983,0.7259289718440449
diabetes,Bagging,n_estimators,25,6,0.7523437499999999,0.7275100902318578,0.7184716417910447,0.7222256980125635
diabetes,Bagging,n_estimators,25,7,0.7544270833333333,0.7301593443121028,0.7191194029850747,0.7235758381317919
diabetes,Bagging,n_estimators,25,8,0.7569010416666666,0.7327076331554779,0.7237029850746268,0.7274345376143437
diabetes,Bagging,n_estimators,25,9,0.7539062500000001,0.7293498513666308,0.7188059701492537,0.7231007732771679
diabetes,Bagging,n_estimators,50,2,0.7540364583333334,0.730130086490466,0.7152701492537312,0.7209190770054292
diabetes,Bagging,n_estimators,50,3,0.7575520833333332,0.734168707796806,0.7194417910447761,0.7250616536963891
diabetes,Bagging,n_estimators,50,4,0.7553385416666666,0.7314132551832896,0.7186074626865671,0.7235960890482722
diabetes,Bagging,n_estimators,50,5,0.7595052083333333,0.7363510893377319,0.7222402985074627,0.7277186538271885
diabetes,Bagging,n_estimators,50,6,0.7532552083333333,0.7287543951124316,0.7170940298507463,0.7217222477834458
diabetes,Bagging,n_estimators,50,7,0.760546875,0.7373058637488796,0.7245985074626866,0.729646111287193
diabetes,Bagging,n_estimators,50,8,0.7600260416666667,0.7367109978207705,0.7242850746268656,0.7292095884402787
diabetes,Bagging,n_estimators,50,9,0.75546875,0.7312410265848903,0.7198328358208955,0.7244669206326215
diabetes,Bagging,n_estimators,100,2,0.7526041666666666,0.7282178373890502,0.7162477611940299,0.7209041114281314
diabetes,Bagging,n_estimators,100,3,0.7625,0.7397715836077582,0.7267044776119402,0.7317574570522967
diabetes,Bagging,n_estimators,100,4,0.7587239583333334,0.7350918360774512,0.723544776119403,0.728183516557689
diabetes,Bagging,n_estimators,100,5,0.7641927083333333,0.7412556159281336,0.7299089552238807,0.734589119088365
diabetes,Bagging,n_estimators,100,6,0.7563802083333334,0.732364151882635,0.7202731343283582,0.7251297620023329
diabetes,Bagging,n_estimators,100,7,0.755859375,0.7316380787916842,0.7207388059701493,0.725177272836604
diabetes,Bagging,n_estimators,100,8,0.7626302083333333,0.7397391577007343,0.726631343283582,0.7318638700580176
diabetes,Bagging,n_estimators,100,9,0.7611979166666667,0.738102480009007,0.7249253731343284,0.7301275197187583
diabetes,Bagging,n_estimators,200,2,0.7557291666666667,0.7318519724641435,0.7185611940298507,0.7237369484286903
diabetes,Bagging,n_estimators,200,3,0.7600260416666667,0.7368213804855206,0.7237656716417911,0.728891308082267
diabetes,Bagging,n_estimators,200,4,0.7579427083333333,0.7340249284536855,0.7230313432835822,0.7274969011257302
diabetes,Bagging,n_estimators,200,5,0.7657552083333333,0.7434067796310322,0.7300701492537314,0.7353759238885197
diabetes,Bagging,n_estimators,200,6,0.76171875,0.7384540259874295,0.7270567164179104,0.7316986017907858
diabetes,Bagging,n_estimators,200,7,0.76015625,0.7367164968825625,0.7249044776119402,0.7296910185110417
diabetes,Bagging,n_estimators,200,8,0.7592447916666666,0.7357192887720856,0.7237716417910448,0.7285508383606613
diabetes,Bagging,n_estimators,200,9,0.7574218749999999,0.7334914117736147,0.7221985074626867,0.7268007517398739
diabetes,Bagging,n_estimators,300,2,0.7576822916666667,0.733798023323777,0.7222253731343284,0.7268691020916249
diabetes,Bagging,n_estimators,300,3,0.7631510416666667,0.7406770922190812,0.7259925373134328,0.7317230724456272
diabetes,Bagging,n_estimators,300,4,0.763671875,0.740652463055236,0.7305477611940298,0.7347486636162289
diabetes,Bagging,n_estimators,300,5,0.7557291666666667,0.7316276259010851,0.7196865671641791,0.7244514143999903
diabetes,Bagging,n_estimators,300,6,0.75703125,0.7329293530695499,0.7225044776119403,0.7268092985498897
diabetes,Bagging,n_estimators,300,7,0.7605468750000001,0.7370839028936385,0.7254641791044776,0.7301735280490615
diabetes,Bagging,n_estimators,300,8,0.7614583333333333,0.738136762463937,0.7265970149253731,0.7313015808131904
diabetes,Bagging,n_estimators,300,9,0.7647135416666666,0.7419493572013269,0.7301358208955224,0.73494469995356
