classifier,param,param value,acc_mean,prec_mean,rec_mean,f1_mean
AdaBoost,algorithm,SAMME,0.7,0.67,0.67,0.67
AdaBoost,algorithm,SAMME.R,0.699,0.67,0.671,0.67
AdaBoost,learning_rate,0.5,0.699,0.669,0.669,0.669
AdaBoost,learning_rate,1.0,0.701,0.672,0.672,0.672
AdaBoost,learning_rate,2.0,0.701,0.671,0.672,0.672
AdaBoost,n_estimators,1,0.699,0.67,0.67,0.67
AdaBoost,n_estimators,10,0.7,0.67,0.67,0.67
AdaBoost,n_estimators,100,0.697,0.667,0.668,0.668
AdaBoost,n_estimators,15,0.701,0.671,0.672,0.672
AdaBoost,n_estimators,20,0.698,0.668,0.669,0.668
AdaBoost,n_estimators,200,0.701,0.671,0.671,0.671
AdaBoost,n_estimators,25,0.701,0.672,0.672,0.672
AdaBoost,n_estimators,300,0.7,0.67,0.67,0.67
AdaBoost,n_estimators,400,0.699,0.67,0.67,0.67
AdaBoost,n_estimators,5,0.701,0.671,0.671,0.671
AdaBoost,n_estimators,50,0.698,0.669,0.67,0.669
AdaBoost,n_estimators,500,0.703,0.673,0.674,0.673
Bagging,bootstrap,False,0.703,0.672,0.669,0.67
Bagging,bootstrap,True,0.742,0.717,0.694,0.702
Bagging,max_features,0.2,0.67,0.629,0.567,0.551
Bagging,max_features,0.5,0.718,0.693,0.652,0.659
Bagging,max_features,0.9,0.738,0.713,0.687,0.695
Bagging,max_features,1.0,0.742,0.718,0.695,0.702
Bagging,max_samples,0.2,0.746,0.724,0.692,0.701
Bagging,max_samples,0.5,0.745,0.722,0.696,0.704
Bagging,max_samples,0.9,0.744,0.72,0.696,0.703
Bagging,max_samples,1.0,0.742,0.718,0.694,0.702
Bagging,n_estimators,1,0.688,0.658,0.658,0.657
Bagging,n_estimators,10,0.743,0.719,0.695,0.703
Bagging,n_estimators,100,0.759,0.736,0.724,0.728
Bagging,n_estimators,15,0.747,0.721,0.712,0.716
Bagging,n_estimators,20,0.751,0.727,0.71,0.716
Bagging,n_estimators,200,0.76,0.736,0.724,0.729
Bagging,n_estimators,25,0.753,0.729,0.718,0.722
Bagging,n_estimators,300,0.76,0.737,0.725,0.73
Bagging,n_estimators,400,0.761,0.737,0.725,0.73
Bagging,n_estimators,5,0.732,0.705,0.699,0.701
Bagging,n_estimators,50,0.757,0.733,0.72,0.725
Bagging,n_estimators,500,0.76,0.736,0.724,0.729
DecisionTree,params,default,0.7,0.67,0.671,0.67
RandomForest,bootstrap,False,0.743,0.718,0.695,0.702
RandomForest,bootstrap,True,0.744,0.721,0.692,0.7
RandomForest,max_features,0.2,0.73,0.706,0.669,0.677
RandomForest,max_features,0.5,0.746,0.722,0.697,0.705
RandomForest,max_features,0.9,0.743,0.719,0.695,0.703
RandomForest,max_features,1.0,0.744,0.72,0.697,0.704
RandomForest,n_estimators,1,0.681,0.649,0.649,0.649
RandomForest,n_estimators,10,0.742,0.72,0.69,0.698
RandomForest,n_estimators,100,0.761,0.739,0.72,0.727
RandomForest,n_estimators,15,0.747,0.722,0.708,0.714
RandomForest,n_estimators,20,0.753,0.731,0.706,0.714
RandomForest,n_estimators,200,0.762,0.74,0.722,0.728
RandomForest,n_estimators,25,0.755,0.731,0.716,0.722
RandomForest,n_estimators,300,0.764,0.742,0.723,0.73
RandomForest,n_estimators,400,0.762,0.74,0.722,0.729
RandomForest,n_estimators,5,0.728,0.7,0.69,0.694
RandomForest,n_estimators,50,0.76,0.738,0.717,0.724
RandomForest,n_estimators,500,0.762,0.74,0.722,0.729
