classifier,param,param value,acc_mean,prec_mean,rec_mean,f1_mean
AdaBoost,algorithm,SAMME,0.669,0.629,0.624,0.624
AdaBoost,algorithm,SAMME.R,0.668,0.633,0.628,0.627
AdaBoost,learning_rate,0.5,0.674,0.64,0.636,0.634
AdaBoost,learning_rate,1.0,0.675,0.641,0.636,0.635
AdaBoost,learning_rate,2.0,0.675,0.641,0.634,0.634
AdaBoost,n_estimators,1,0.67,0.633,0.629,0.627
AdaBoost,n_estimators,10,0.671,0.636,0.631,0.63
AdaBoost,n_estimators,100,0.679,0.643,0.641,0.639
AdaBoost,n_estimators,15,0.672,0.638,0.632,0.631
AdaBoost,n_estimators,20,0.671,0.633,0.627,0.627
AdaBoost,n_estimators,200,0.666,0.631,0.626,0.625
AdaBoost,n_estimators,25,0.673,0.638,0.63,0.631
AdaBoost,n_estimators,300,0.675,0.641,0.633,0.634
AdaBoost,n_estimators,400,0.675,0.637,0.633,0.632
AdaBoost,n_estimators,5,0.672,0.635,0.63,0.63
AdaBoost,n_estimators,50,0.672,0.643,0.63,0.633
AdaBoost,n_estimators,500,0.675,0.639,0.635,0.634
Bagging,bootstrap,False,0.679,0.648,0.636,0.638
Bagging,bootstrap,True,0.727,0.717,0.678,0.69
Bagging,max_features,0.2,0.541,0.403,0.359,0.357
Bagging,max_features,0.5,0.721,0.713,0.626,0.647
Bagging,max_features,0.9,0.734,0.724,0.679,0.693
Bagging,max_features,1.0,0.731,0.724,0.685,0.698
Bagging,max_samples,0.2,0.663,0.637,0.522,0.542
Bagging,max_samples,0.5,0.719,0.717,0.642,0.664
Bagging,max_samples,0.9,0.729,0.722,0.678,0.692
Bagging,max_samples,1.0,0.728,0.718,0.679,0.691
Bagging,n_estimators,1,0.642,0.604,0.599,0.597
Bagging,n_estimators,10,0.731,0.725,0.684,0.697
Bagging,n_estimators,100,0.753,0.749,0.721,0.73
Bagging,n_estimators,15,0.731,0.728,0.691,0.703
Bagging,n_estimators,20,0.743,0.74,0.7,0.712
Bagging,n_estimators,200,0.753,0.745,0.719,0.727
Bagging,n_estimators,25,0.748,0.744,0.709,0.72
Bagging,n_estimators,300,0.753,0.743,0.723,0.728
Bagging,n_estimators,400,0.759,0.756,0.726,0.735
Bagging,n_estimators,5,0.713,0.698,0.651,0.665
Bagging,n_estimators,50,0.747,0.739,0.711,0.72
Bagging,n_estimators,500,0.755,0.747,0.724,0.731
DecisionTree,params,default,0.674,0.638,0.633,0.633
RandomForest,bootstrap,False,0.741,0.741,0.7,0.715
RandomForest,bootstrap,True,0.742,0.736,0.678,0.695
RandomForest,max_features,0.2,0.729,0.739,0.649,0.673
RandomForest,max_features,0.5,0.743,0.74,0.68,0.699
RandomForest,max_features,0.9,0.732,0.721,0.687,0.697
RandomForest,max_features,1.0,0.728,0.719,0.679,0.692
RandomForest,n_estimators,1,0.625,0.581,0.571,0.571
RandomForest,n_estimators,10,0.74,0.741,0.681,0.699
RandomForest,n_estimators,100,0.779,0.782,0.726,0.744
RandomForest,n_estimators,15,0.754,0.755,0.697,0.715
RandomForest,n_estimators,20,0.761,0.757,0.701,0.717
RandomForest,n_estimators,200,0.787,0.791,0.738,0.755
RandomForest,n_estimators,25,0.764,0.769,0.707,0.726
RandomForest,n_estimators,300,0.785,0.791,0.732,0.751
RandomForest,n_estimators,400,0.785,0.79,0.733,0.751
RandomForest,n_estimators,5,0.713,0.708,0.637,0.658
RandomForest,n_estimators,50,0.776,0.778,0.72,0.739
RandomForest,n_estimators,500,0.788,0.794,0.733,0.752
